fen,result
"8/8/8/p2K4/P4k1p/7P/8/8 w - - 55 92",0
"8/8/8/p7/P2K1k1p/7P/8/8 b - - 56 92",0
"8/8/8/p4k2/P2K3p/7P/8/8 w - - 57 93",0
"8/8/8/p4k2/P1K4p/7P/8/8 b - - 58 93",0
"8/8/4k3/p7/P1K4p/7P/8/8 w - - 59 94",0
"8/8/4k3/p7/P2K3p/7P/8/8 b - - 60 94",0
"8/8/8/p4k2/P2K3p/7P/8/8 w - - 61 95",0
"8/8/8/p2K1k2/P6p/7P/8/8 b - - 62 95",0
"8/8/8/p2K4/P4k1p/7P/8/8 w - - 63 96",0
"8/8/8/p7/P2K1k1p/7P/8/8 b - - 64 96",0
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1",0
"rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1",0
"r1bqkbnr/pppppppp/2n5/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 2 2",0
"r1bqkbnr/pppppppp/2n5/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2",0
"r1bqkbnr/pppppppp/8/8/1n6/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3",0
"r1bqkbnr/pppppppp/8/8/1n1P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq d3 0 3",0
"r1bqkbnr/pppppppp/8/8/3P4/2N2N2/PPn1PPPP/R1BQKB1R w KQkq - 0 4",0
"r1bqkbnr/pppppppp/8/8/3P4/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq - 0 4",0
"r1bqkb1r/pppppppp/5n2/8/3P4/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq - 1 5",0
"r1bqkb1r/pppppppQ/5n2/8/3P4/2N2N2/PP2PPPP/R1B1KB1R b KQkq - 0 5",0
"r1bqkb2/pppppppr/5n2/8/3P4/2N2N2/PP2PPPP/R1B1KB1R w KQq - 0 6",0
"r1bqkb2/pppppppr/5n2/8/3PP3/2N2N2/PP3PPP/R1B1KB1R b KQq e3 0 6",0
"r1bqkb2/1ppppppr/p4n2/8/3PP3/2N2N2/PP3PPP/R1B1KB1R w KQq - 0 7",0
"r1bqkb2/1ppppppr/B4n2/8/3PP3/2N2N2/PP3PPP/R1B1K2R b KQq - 0 7",0
"2bqkb2/1ppppppr/r4n2/8/3PP3/2N2N2/PP3PPP/R1B1K2R w KQ - 0 8",0
"2bqkb2/1ppppppr/r4n2/8/3PP3/2N1BN2/PP3PPP/R3K2R b KQ - 1 8",0
"2bqkb2/1ppppppr/r7/8/3Pn3/2N1BN2/PP3PPP/R3K2R w KQ - 0 9",0
"2bqkb2/1ppppppr/r7/8/3PN3/4BN2/PP3PPP/R3K2R b KQ - 0 9",0
"2bqkb2/1ppppppr/8/8/3PN3/4BN2/rP3PPP/R3K2R w KQ - 0 10",0
"2bqkb2/1ppppppr/8/8/3PN3/4BN2/RP3PPP/4K2R b K - 0 10",0
"2bqkb2/1pppppp1/8/8/3PN3/4BN2/RP3PPr/4K2R w K - 0 11",0
"2bqkb2/1pppppp1/8/8/3PN3/4BN2/RP3PPR/4K3 b - - 0 11",0
"2bqkb2/1pp1ppp1/8/3p4/3PN3/4BN2/RP3PPR/4K3 w - d6 0 12",0
"2bqkb2/1pp1ppp1/7B/3p4/3PN3/5N2/RP3PPR/4K3 b - - 1 12",0
"2bqkb2/1pp1ppp1/7B/8/3Pp3/5N2/RP3PPR/4K3 w - - 0 13",0
"2bqkb2/1pp1ppB1/8/8/3Pp3/5N2/RP3PPR/4K3 b - - 0 13",0
"2bqk3/1pp1ppb1/8/8/3Pp3/5N2/RP3PPR/4K3 w - - 0 14",0
"2bqk3/1pp1ppb1/8/8/3Pp3/5N2/RP1K1PPR/8 b - - 1 14",0
"2b1k3/1pp1ppb1/8/3q4/3Pp3/5N2/RP1K1PPR/8 w - - 2 15",0
"2b1k3/1pp1ppb1/8/3q4/3Pp3/5N2/RP2KPPR/8 b - - 3 15",0
"2b1k3/1pp1ppb1/8/8/3Pp3/5N2/qP2KPPR/8 w - - 0 16",0
"2b1k3/1pp1ppbR/8/8/3Pp3/5N2/qP2KPP1/8 b - - 1 16",0
"2b1k3/1pp1ppbR/8/8/3P4/5p2/qP2KPP1/8 w - - 0 17",0
"2b1k3/1pp1ppbR/8/8/3P4/5P2/qP2KP2/8 b - - 0 17",0
"2b1k3/1pp1ppbR/8/8/3P4/5P2/1q2KP2/8 w - - 0 18",0
"2b1k3/1pp1ppbR/8/8/3P4/4KP2/1q3P2/8 b - - 1 18",0
"2b1k3/1pp1ppbR/8/8/3q4/4KP2/5P2/8 w - - 0 19",0
"2b1k3/1pp1ppbR/8/8/3q4/5P2/4KP2/8 b - - 1 19",0
"2b1k3/1pp1ppbR/8/8/8/5P2/4Kq2/8 w - - 0 20",0
"2b1k3/1pp1ppbR/8/8/8/5P2/5K2/8 b - - 0 20",0
"2b5/1ppkppbR/8/8/8/5P2/5K2/8 w - - 1 21",0
"2b5/1ppkppR1/8/8/8/5P2/5K2/8 b - - 0 21",0
"2b5/2pkppR1/8/1p6/8/5P2/5K2/8 w - b6 0 22",0
"2b5/2pkpR2/8/1p6/8/5P2/5K2/8 b - - 0 22",0
"2b5/2pkpR2/8/8/1p6/5P2/5K2/8 w - - 0 23",0
"2b5/2pkR3/8/8/1p6/5P2/5K2/8 b - - 0 23",0
"2b5/2p1k3/8/8/1p6/5P2/5K2/8 w - - 0 24",0
"2b5/2p1k3/8/8/1p3P2/8/5K2/8 b - - 0 24",0
"2b5/2p1k3/8/8/5P2/1p6/5K2/8 w - - 0 25",0
"2b5/2p1k3/8/8/5P2/1p2K3/8/8 b - - 1 25",0
"2b5/2p5/5k2/8/5P2/1p2K3/8/8 w - - 2 26",0
"2b5/2p5/5k2/8/5P2/1p6/3K4/8 b - - 3 26",0
"2b5/2p5/5k2/8/5P2/8/1p1K4/8 w - - 0 27",0
"2b5/2p5/5k2/5P2/8/8/1p1K4/8 b - - 0 27",0
"2b5/2p5/5k2/5P2/8/8/3K4/1q6 w - - 0 28",0
"2b5/2p5/5k2/5P2/8/8/4K3/1q6 b - - 1 28",0
"8/2p5/5k2/5b2/8/8/4K3/1q6 w - - 0 29",0
